18,104,4,1,117,248,43
37,104,9,1,160,87,244
155,104,14,3,98,37,126
93,102,18,3,85,222,75
6,101,1,2,45,28,46
58,100,13,5,75,239,104
17,99,2,2,167,58,228
23,99,4,7,114,203,25
62,96,5,3,200,139,91
74,96,10,9,91,147,136
10,95,1,10,6,62,236
152,94,2,4,124,84,78
96,93,2,1,245,217,209
126,92,19,10,21,30,78
45,91,3,7,172,255,88
68,91,11,2,132,177,236
173,91,12,12,11,188,94
110,90,2,10,149,204,104
53,89,2,14,12,22,187
27,88,10,3,106,41,210
38,88,1,7,147,174,192
101,88,8,6,167,41,33
167,88,2,3,249,1,255
178,88,8,2,16,18,11
40,87,3,14,95,71,219
114,85,10,20,204,86,215
162,84,4,19,149,226,132
182,84,2,2,68,37,210
38,82,1,1,145,248,164
45,82,7,2,21,221,169
64,82,16,6,18,79,197
171,82,4,4,26,49,190
59,81,3,13,53,140,36
94,81,1,9,224,60,50
163,81,7,2,38,160,250
88,80,3,18,56,12,180
129,80,6,3,159,3,199
56,79,1,3,96,220,30
97,79,1,7,48,247,129
165,78,6,1,31,68,55
14,77,2,12,214,63,201
104,77,16,6,223,3,18
174,77,2,3,105,79,115
6,76,4,7,246,95,70
53,76,12,1,148,23,42
86,75,1,6,152,203,227
74,74,10,4,36,191,160
152,73,5,18,212,6,1
19,72,16,10,170,162,152
92,72,16,4,94,145,194
141,72,6,18,218,221,126
87,69,2,5,30,232,66
126,69,10,7,26,62,49
13,68,19,3,10,35,234
38,68,9,8,69,98,38
144,68,9,2,131,229,49
180,68,5,15,70,2,209
82,67,2,3,152,29,184
90,67,4,1,139,174,92
187,67,3,20,227,96,64
110,66,13,3,155,195,32
124,66,1,8,13,61,176
95,64,10,1,203,60,127
90,62,16,1,239,80,166
41,61,4,3,130,246,51
80,61,3,5,86,140,133
158,61,14,16,223,171,39
32,60,5,5,145,100,104
69,60,1,1,183,100,48
72,59,3,7,139,209,163
2,58,4,13,56,92,97
26,58,2,3,115,4,102
48,58,13,12,49,168,81
153,58,1,1,183,5,95
82,57,4,3,144,43,196
130,57,11,9,75,83,140
182,56,5,4,78,154,84
8,55,12,9,116,159,209
143,53,8,4,9,125,58
47,52,19,1,201,8,53
96,52,14,8,34,7,20
90,51,2,8,92,129,61
171,51,4,4,28,248,161
23,49,2,10,62,51,195
73,48,6,9,174,183,114
89,48,14,2,152,77,213
161,46,8,12,5,206,90
49,45,2,5,162,116,149
84,44,3,11,59,123,74
117,42,5,20,153,0,82
173,42,9,8,242,193,27
33,41,1,8,75,173,53
53,41,8,7,63,231,47
167,41,1,4,75,148,129
69,40,2,16,191,143,172
124,39,3,19,188,107,225
155,39,5,7,54,170,107
27,37,5,15,111,111,159
48,36,16,2,126,29,8
144,35,7,6,87,238,27
11,34,1,9,41,50,152
171,34,4,4,35,188,73
65,33,3,3,9,234,44
107,33,9,14,171,160,101
140,33,2,18,170,235,117
183,33,3,20,131,253,125
154,32,4,6,168,114,184
88,31,7,1,185,160,134
14,30,12,16,251,76,130
37,29,7,20,242,251,204
118,29,3,8,76,174,46
45,27,2,14,209,194,16
74,27,11,12,251,155,249
141,26,9,2,31,5,2
164,26,15,5,171,107,123
68,25,3,4,15,51,59
93,25,1,3,109,85,51
99,24,5,16,153,170,10
3,23,7,15,180,88,28
171,23,7,1,116,47,9
11,22,11,5,104,41,150
34,22,3,3,80,64,251
130,22,7,20,162,187,204
157,22,12,3,182,43,236
38,21,3,6,54,250,108
102,21,19,1,31,93,143
45,20,1,5,109,55,68
138,20,16,2,226,162,111
182,20,5,5,123,19,158
41,19,1,1,136,147,181
85,19,3,1,16,244,42
115,19,5,1,11,32,183
60,18,15,4,235,15,162
125,18,2,16,117,166,148
52,17,6,17,43,119,213
97,17,15,2,32,127,219
165,16,11,4,177,152,112
60,15,2,1,34,10,67
143,15,17,2,91,118,135
45,14,5,4,185,255,48
76,13,5,11,177,115,210
87,11,7,6,61,5,13
115,11,6,5,15,105,5
97,10,14,5,220,221,15
36,9,14,2,212,118,229
130,9,11,8,51,188,223
176,9,6,5,17,51,153
12,8,17,9,189,54,29
63,8,10,5,185,8,93
2,7,1,3,255,14,75
114,7,11,2,1,193,78
83,6,12,3,66,227,167
107,6,2,1,95,21,82
127,6,9,1,100,231,193
171,6,1,4,21,254,103
33,4,4,3,46,29,224
114,4,18,1,49,107,31
4,3,4,16,91,152,51
26,2,4,4,32,136,56
68,2,19,2,136,254,37
182,2,1,5,72,252,4
11,1,13,5,34,153,186
52,1,12,5,125,96,50
146,1,15,12,66,203,216
165,1,12,2,122,166,188
190,1,1,18,51,0,146
